campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,click_through_rate_percent,conversions,conversion_rate_percent,spend,revenue_generated,real_roas
358482,Weekend Special,2024-10-30,New Users,App,4788,628,13.12,76,12.10,2603.2,2979.58,1.14
510301,Festival Offer,2024-10-30,All,App,5744,207,3.60,47,22.71,1966.98,3566.39,1.81
258760,Flash Sale,2024-10-30,New Users,App,4130,779,18.86,89,11.42,1741.85,5487.39,3.15
678723,Membership Drive,2024-10-30,Inactive,SMS,7316,950,12.99,54,5.68,1650.8,5407.95,3.28
490727,Category Promotion,2024-10-30,Premium,SMS,7583,501,6.61,30,5.99,4937.7,8031.55,1.63
378426,App Push Notification,2024-10-30,Premium,App,2155,719,33.36,70,9.74,2233.21,6322.5,2.83
158279,Email Campaign,2024-10-30,New Users,Email,3245,443,13.65,30,6.77,1970.09,8773.38,4.45
57394,Referral Program,2024-10-30,All,App,3328,377,11.33,75,19.89,3212.25,3778.57,1.18
633088,New User Discount,2024-10-29,Premium,Email,3832,930,24.27,26,2.80,2133.42,3655.75,1.71
827451,Weekend Special,2024-10-29,All,SMS,6494,422,6.50,30,7.11,2744.72,4665.13,1.70
221166,Festival Offer,2024-10-29,New Users,Email,2851,712,24.97,99,13.90,1415.72,7808.19,5.52
581436,Flash Sale,2024-10-29,Premium,App,2489,543,21.82,54,9.94,1101.24,8701.2,7.90
399972,Membership Drive,2024-10-29,All,Email,5187,741,14.29,58,7.83,1185.35,2169.17,1.83
467912,Category Promotion,2024-10-29,All,SMS,3949,486,12.31,87,17.90,4568.63,9613.16,2.10
928724,App Push Notification,2024-10-29,New Users,Email,8668,660,7.61,36,5.45,3904.68,2757.27,0.71
639165,Email Campaign,2024-10-29,Inactive,SMS,1771,226,12.76,98,43.36,2154.4,8055.52,3.74
270413,Referral Program,2024-10-29,All,Email,1377,278,20.19,43,15.47,2165.16,4371.9,2.02
652845,New User Discount,2024-10-28,All,SMS,4258,162,3.80,45,27.78,2098.74,8237.05,3.92
159675,Weekend Special,2024-10-28,Inactive,Email,2239,183,8.17,85,46.45,1183.89,9661.81,8.16
89176,Festival Offer,2024-10-28,All,SMS,1666,508,30.49,20,3.94,3586.46,3395.18,0.95
294030,Flash Sale,2024-10-28,Inactive,App,1679,965,57.47,57,5.91,1452.05,6109.1,4.21
448860,Membership Drive,2024-10-28,New Users,Email,2775,396,14.27,33,8.33,4290.98,8723.84,2.03
618403,Category Promotion,2024-10-28,Inactive,App,1153,198,17.17,99,50.00,3455.94,4935.65,1.43
795975,App Push Notification,2024-10-28,Inactive,SMS,6100,642,10.52,66,10.28,3409.53,9276.19,2.72
453312,Email Campaign,2024-10-28,New Users,App,1618,301,18.60,32,10.63,3165.37,7731.79,2.44
468423,Referral Program,2024-10-28,New Users,Email,1927,298,15.46,96,32.21,2617.58,9553.44,3.65
359366,New User Discount,2024-10-27,All,Email,1685,999,59.29,46,4.60,1055.61,4223.44,4.00
69903,Weekend Special,2024-10-27,Inactive,App,1085,706,65.07,41,5.81,4118.41,3837.05,0.93
613932,Festival Offer,2024-10-27,Premium,App,4726,709,15.00,59,8.32,3577.71,3104.01,0.87
992886,Flash Sale,2024-10-27,Premium,Email,9194,537,5.84,42,7.82,2925.63,3760.51,1.29
380809,Membership Drive,2024-10-27,Inactive,Email,3122,496,15.89,84,16.94,2365.57,2572.69,1.09
509178,Category Promotion,2024-10-27,Premium,Social Media,6487,644,9.93,48,7.45,3457.17,2472.34,0.72
794495,App Push Notification,2024-10-27,New Users,App,3049,634,20.79,58,9.15,2093.96,7406.66,3.54
880379,Email Campaign,2024-10-27,All,App,2399,335,13.96,41,12.24,4785.81,9369.74,1.96
561555,Referral Program,2024-10-27,All,Social Media,4881,102,2.09,89,87.25,4549.44,8205.53,1.80
530223,New User Discount,2024-10-26,Inactive,App,8865,176,1.99,27,15.34,1137.88,6799.15,5.98
495008,Weekend Special,2024-10-26,Premium,SMS,7698,120,1.56,100,83.33,4992.5,3353.4,0.67
565307,Festival Offer,2024-10-26,Premium,SMS,1600,241,15.06,72,29.88,4917.53,7945.34,1.62
842270,Flash Sale,2024-10-26,Inactive,SMS,9800,758,7.73,53,6.99,3310.25,8683.82,2.62
737765,Membership Drive,2024-10-26,New Users,SMS,9214,909,9.87,48,5.28,3400.97,9608.9,2.83
521471,Category Promotion,2024-10-26,All,SMS,2315,704,30.41,100,14.20,4403.4,9400.79,2.13
42263,App Push Notification,2024-10-26,Inactive,Email,1723,258,14.97,81,31.40,1558.93,8570.27,5.50
664981,Email Campaign,2024-10-26,New Users,Social Media,1002,705,70.36,63,8.94,3599.79,4311.79,1.20
887586,Referral Program,2024-10-26,Inactive,Social Media,3797,149,3.92,50,33.56,3393.94,6539.92,1.93
408371,New User Discount,2024-10-25,New Users,App,7239,579,8.00,61,10.54,4575.26,6288.51,1.37
993186,Weekend Special,2024-10-25,Premium,Email,2258,513,22.72,75,14.62,2383.71,5454.96,2.29
762331,Festival Offer,2024-10-25,Inactive,App,5882,577,9.81,19,3.29,4474.48,4596.52,1.03
209173,Flash Sale,2024-10-25,Premium,Email,8130,137,1.69,18,13.14,1715.46,9959.51,5.81
903905,Membership Drive,2024-10-25,Inactive,App,6268,973,15.52,15,1.54,3117.62,8722.31,2.80
668975,Category Promotion,2024-10-25,New Users,App,5437,972,17.88,80,8.23,4583.85,7105.69,1.55
680570,App Push Notification,2024-10-25,Inactive,Email,7010,202,2.88,34,16.83,1599.34,7806.21,4.88
192501,Email Campaign,2024-10-25,Inactive,Email,4970,343,6.90,53,15.45,1947.23,9461.87,4.86
982430,Referral Program,2024-10-25,Premium,Email,5429,795,14.64,82,10.31,2842.37,4914,1.73
698056,New User Discount,2024-10-24,All,App,3144,877,27.89,18,2.05,3704.05,3732.06,1.01
941069,Weekend Special,2024-10-24,New Users,Social Media,5133,389,7.58,70,17.99,2318.95,4311.21,1.86
602540,Festival Offer,2024-10-24,Inactive,App,6569,620,9.44,64,10.32,3218.48,2901.45,0.90
575585,Flash Sale,2024-10-24,Inactive,App,8501,258,3.03,57,22.09,2437.64,8650.4,3.55
552893,Membership Drive,2024-10-24,Inactive,Social Media,9012,259,2.87,38,14.67,1598.76,2093.56,1.31
882671,Category Promotion,2024-10-24,Inactive,Email,7685,540,7.03,47,8.70,2199.05,4937.69,2.25
729422,App Push Notification,2024-10-24,Inactive,Social Media,1753,984,56.13,16,1.63,4052.53,6151.03,1.52
315890,Email Campaign,2024-10-24,New Users,SMS,7736,953,12.32,70,7.35,2749.84,5113.71,1.86
242619,Referral Program,2024-10-24,Inactive,Social Media,3112,391,12.56,48,12.28,4882.83,3755.92,0.77
457841,New User Discount,2024-10-23,New Users,SMS,8261,557,6.74,54,9.69,2599.3,3748.91,1.44
334424,Weekend Special,2024-10-23,Inactive,SMS,6370,604,9.48,70,11.59,3516.78,2866.2,0.82
489132,Festival Offer,2024-10-23,New Users,Social Media,4553,469,10.30,12,2.56,2363.94,6845.16,2.90
554438,Flash Sale,2024-10-23,All,Social Media,7358,367,4.99,41,11.17,2165.36,2312.68,1.07
204191,Membership Drive,2024-10-23,All,Social Media,9385,492,5.24,43,8.74,1921.19,9824.3,5.11
586930,Category Promotion,2024-10-23,Inactive,Social Media,7577,598,7.89,15,2.51,2804.3,9402.79,3.35
814199,App Push Notification,2024-10-23,New Users,SMS,8240,341,4.14,50,14.66,4191.03,6688.85,1.60
871629,Email Campaign,2024-10-23,All,App,2233,547,24.50,27,4.94,4199.36,5655.15,1.35
697944,Referral Program,2024-10-23,Inactive,App,4653,188,4.04,51,27.13,2303.42,4678.46,2.03
776669,New User Discount,2024-10-22,Inactive,App,6516,252,3.87,34,13.49,4332.69,7080.93,1.63
845527,Weekend Special,2024-10-22,Inactive,Social Media,9587,810,8.45,77,9.51,1323.74,3364.59,2.54
932133,Festival Offer,2024-10-22,All,Email,6955,317,4.56,78,24.61,3341.07,5741.39,1.72
130164,Flash Sale,2024-10-22,Premium,Social Media,6347,665,10.48,75,11.28,3934.71,4725.54,1.20
547470,Membership Drive,2024-10-22,Premium,SMS,9964,465,4.67,33,7.10,2695.95,3392.76,1.26
530361,Category Promotion,2024-10-22,Inactive,Email,8285,530,6.40,29,5.47,3909.95,5650.29,1.45
181070,App Push Notification,2024-10-22,Inactive,SMS,7265,110,1.51,22,20.00,2495.46,8618.53,3.45
27596,Email Campaign,2024-10-22,Premium,Social Media,2648,898,33.91,24,2.67,3747,7410.91,1.98
518109,Referral Program,2024-10-22,Premium,SMS,3803,207,5.44,42,20.29,1671.16,5232.93,3.13
980545,New User Discount,2024-10-21,Premium,SMS,6378,149,2.34,31,20.81,4974.32,9771.12,1.96
963463,Weekend Special,2024-10-21,New Users,Email,8974,479,5.34,39,8.14,1741.34,7019.71,4.03
362162,Festival Offer,2024-10-21,Premium,SMS,4976,562,11.29,79,14.06,1855.65,2736.38,1.47
837030,Flash Sale,2024-10-21,All,SMS,9348,397,4.25,30,7.56,4546.79,8518.37,1.87
533144,Membership Drive,2024-10-21,Inactive,App,7432,627,8.44,23,3.67,1618.63,8290.49,5.12
942737,Category Promotion,2024-10-21,Premium,SMS,9433,593,6.29,61,10.29,1670.95,5415.89,3.24
8328,App Push Notification,2024-10-21,All,Email,3212,747,23.26,63,8.43,3964.61,7024.84,1.77
446559,Email Campaign,2024-10-21,All,Email,4395,786,17.88,53,6.74,1766.03,4554.83,2.58
929421,Referral Program,2024-10-21,All,Social Media,7680,829,10.79,81,9.77,1652.23,2181.47,1.32
415106,New User Discount,2024-10-20,All,SMS,5143,930,18.08,88,9.46,4882.61,2535.36,0.52
38153,Weekend Special,2024-10-20,All,App,7842,559,7.13,20,3.58,1927.22,8434.35,4.38
523833,Festival Offer,2024-10-20,All,SMS,9486,347,3.66,43,12.39,1686.15,5813.55,3.45
170461,Flash Sale,2024-10-20,New Users,SMS,2952,393,13.31,38,9.67,4037.84,4531.27,1.12
109449,Membership Drive,2024-10-20,Premium,App,8414,748,8.89,63,8.42,2195.8,3019.02,1.37
687130,Category Promotion,2024-10-20,All,Email,4330,822,18.98,31,3.77,1104.8,6592.8,5.97
479853,App Push Notification,2024-10-20,Premium,SMS,6870,227,3.30,92,40.53,4219.18,4713.09,1.12
683250,Email Campaign,2024-10-20,Inactive,Email,8382,926,11.05,37,4.00,1921.49,6651.93,3.46
794159,Referral Program,2024-10-20,Inactive,Social Media,3200,998,31.19,79,7.92,1614.98,4026.68,2.49
593428,New User Discount,2024-10-19,New Users,SMS,1554,121,7.79,97,80.17,2667.73,6000.11,2.25
579105,Weekend Special,2024-10-19,New Users,Social Media,7754,920,11.86,41,4.46,2335.89,4374.42,1.87
494867,Festival Offer,2024-10-19,New Users,Social Media,4586,977,21.30,87,8.90,2372.56,3816.48,1.61
972242,Flash Sale,2024-10-19,New Users,App,2553,551,21.58,51,9.26,4591.88,6236.89,1.36
762572,Membership Drive,2024-10-19,All,Social Media,6285,971,15.45,52,5.36,3257.45,2757.61,0.85
736483,Category Promotion,2024-10-19,Premium,Email,8086,938,11.60,23,2.45,4006.13,8109.27,2.02
822872,App Push Notification,2024-10-19,Inactive,SMS,3595,244,6.79,72,29.51,3807.41,4183.31,1.10
444700,Email Campaign,2024-10-19,New Users,App,3648,917,25.14,65,7.09,1167.11,9601.21,8.23
382659,Referral Program,2024-10-19,Premium,App,6139,355,5.78,77,21.69,4850.15,5703.32,1.18
911817,New User Discount,2024-10-18,New Users,App,2358,459,19.47,76,16.56,3039.4,3814.89,1.26
977198,Weekend Special,2024-10-18,Premium,Social Media,1311,828,63.16,21,2.54,3593.2,8054.46,2.24
338461,Festival Offer,2024-10-18,Inactive,App,8837,717,8.11,85,11.85,2017.25,6910.97,3.43
490083,Flash Sale,2024-10-18,New Users,App,8394,490,5.84,95,19.39,1419.59,2756.89,1.94
538898,Membership Drive,2024-10-18,New Users,App,1025,971,94.73,57,5.87,1872.13,3381.51,1.81
570365,Category Promotion,2024-10-18,Inactive,Social Media,5313,591,11.12,76,12.86,1187.93,7750.31,6.52
71028,App Push Notification,2024-10-18,Inactive,App,9195,547,5.95,39,7.13,3435.03,9024.93,2.63
914119,Email Campaign,2024-10-18,New Users,Email,7683,319,4.15,37,11.60,4746.76,5034.95,1.06
277306,Referral Program,2024-10-18,Premium,Social Media,2064,390,18.90,12,3.08,1312.97,4952.09,3.77
992859,New User Discount,2024-10-17,Inactive,SMS,6077,157,2.58,29,18.47,4324.59,3798.75,0.88
38680,Weekend Special,2024-10-17,Premium,App,6986,769,11.01,13,1.69,2756.39,3006.93,1.09
627466,Festival Offer,2024-10-17,Inactive,SMS,6475,330,5.10,17,5.15,3389.57,6934.82,2.05
721480,Flash Sale,2024-10-17,Premium,App,4621,846,18.31,89,10.52,2010.23,4857.76,2.42
463470,Membership Drive,2024-10-17,Premium,Email,4866,843,17.32,10,1.19,2036.43,9742.66,4.78
611505,Category Promotion,2024-10-17,Inactive,Social Media,7936,927,11.68,82,8.85,4318.97,7069.93,1.64
978930,App Push Notification,2024-10-17,New Users,SMS,1465,194,13.24,75,38.66,1536.67,6191.95,4.03
408445,Email Campaign,2024-10-17,New Users,App,2312,487,21.06,68,13.96,2525.56,9208.83,3.65
848590,Referral Program,2024-10-17,Inactive,Email,9067,787,8.68,93,11.82,1057.25,9577.92,9.06
942963,New User Discount,2024-10-16,Inactive,Email,3217,359,11.16,12,3.34,1361.43,8734.81,6.42
94992,Weekend Special,2024-10-16,All,App,7529,547,7.27,79,14.44,4082.14,2765.4,0.68
34191,Festival Offer,2024-10-16,Inactive,Social Media,3138,724,23.07,13,1.80,1622.33,7683.62,4.74
358462,Flash Sale,2024-10-16,Inactive,App,4765,411,8.63,60,14.60,2277.77,6766.63,2.97
511991,Membership Drive,2024-10-16,All,SMS,9683,100,1.03,92,92.00,2353.78,4471.61,1.90
234036,Category Promotion,2024-10-16,Inactive,SMS,2176,167,7.67,57,34.13,4239.19,8603.76,2.03
460964,App Push Notification,2024-10-16,All,SMS,5570,150,2.69,37,24.67,2175.55,2538.18,1.17
562835,Email Campaign,2024-10-16,All,SMS,3914,241,6.16,25,10.37,3267.78,3558.02,1.09
569002,Referral Program,2024-10-16,Premium,Social Media,5481,759,13.85,55,7.25,4609.27,3819.5,0.83
686645,New User Discount,2024-10-15,All,Social Media,4109,649,15.79,86,13.25,2389.82,9766.72,4.09
914931,Weekend Special,2024-10-15,New Users,Social Media,5724,877,15.32,67,7.64,3027.31,3345.95,1.11
843274,Festival Offer,2024-10-15,Premium,Social Media,1034,968,93.62,58,5.99,4438.6,2588.21,0.58
308911,Flash Sale,2024-10-15,New Users,Social Media,4919,661,13.44,63,9.53,4818.43,5003.95,1.04
320610,Membership Drive,2024-10-15,All,SMS,5174,376,7.27,81,21.54,3036.37,4448.69,1.47
487151,Category Promotion,2024-10-15,All,Social Media,3416,685,20.05,98,14.31,4018.36,2170.94,0.54
390634,App Push Notification,2024-10-15,Premium,Email,8930,361,4.04,94,26.04,1510.67,4795.86,3.17
411434,Email Campaign,2024-10-15,Inactive,Email,3597,149,4.14,48,32.21,4273.24,5148.84,1.20
929630,Referral Program,2024-10-15,New Users,Email,3344,810,24.22,88,10.86,2786.73,7608.13,2.73
786085,New User Discount,2024-10-14,New Users,Social Media,9878,792,8.02,84,10.61,1995.07,5772.9,2.89
874058,Weekend Special,2024-10-14,Inactive,App,4890,929,19.00,100,10.76,3933.1,7013.19,1.78
336128,Festival Offer,2024-10-14,Premium,Email,5261,475,9.03,32,6.74,1902.86,8899.39,4.68
957007,Flash Sale,2024-10-14,Premium,Email,7155,454,6.35,51,11.23,1727.08,5407.31,3.13
148522,Membership Drive,2024-10-14,All,Social Media,7279,693,9.52,93,13.42,4386.41,9441.08,2.15
479381,Category Promotion,2024-10-14,Premium,Email,5884,689,11.71,14,2.03,2415.08,3067.78,1.27
197209,App Push Notification,2024-10-14,Premium,SMS,1558,415,26.64,49,11.81,2979.87,3609.89,1.21
391697,Email Campaign,2024-10-14,Inactive,Email,8221,910,11.07,13,1.43,1357.64,4046.13,2.98
614584,Referral Program,2024-10-14,All,SMS,6749,792,11.74,24,3.03,4576.84,5500.51,1.20
142389,New User Discount,2024-10-13,All,SMS,3365,963,28.62,12,1.25,3397.73,7077.5,2.08
289397,Weekend Special,2024-10-13,All,App,8092,974,12.04,18,1.85,1253.01,4088.11,3.26
171934,Festival Offer,2024-10-13,Premium,SMS,8092,327,4.04,52,15.90,2546.42,3189.71,1.25
690497,Flash Sale,2024-10-13,All,Email,9841,105,1.07,95,90.48,4278.17,7796.05,1.82
432807,Membership Drive,2024-10-13,New Users,App,7336,160,2.18,53,33.13,2485.13,3512.87,1.41
167425,Category Promotion,2024-10-13,New Users,App,7572,763,10.08,87,11.40,2233.11,6294.83,2.82
808905,App Push Notification,2024-10-13,New Users,App,6174,472,7.64,59,12.50,2242.83,6950.51,3.10
71699,Email Campaign,2024-10-13,Premium,SMS,3743,573,15.31,68,11.87,3512.16,7812,2.22
652119,Referral Program,2024-10-13,New Users,App,8629,951,11.02,23,2.42,4036.51,9053.65,2.24
618967,New User Discount,2024-10-12,New Users,App,1582,975,61.63,96,9.85,1487.46,7566.78,5.09
284634,Weekend Special,2024-10-12,New Users,App,3803,465,12.23,55,11.83,1690.55,5220.23,3.09
139196,Festival Offer,2024-10-12,All,Email,8047,726,9.02,47,6.47,2066.11,7037.37,3.41
487782,Flash Sale,2024-10-12,New Users,Email,1732,919,53.06,93,10.12,3754.68,4181.59,1.11
33956,Membership Drive,2024-10-12,Inactive,Social Media,9818,161,1.64,75,46.58,3600.34,7589.85,2.11
907406,Category Promotion,2024-10-12,All,Social Media,6043,814,13.47,75,9.21,4668.71,4446.99,0.95
313154,App Push Notification,2024-10-12,New Users,Social Media,6666,106,1.59,85,80.19,4173.34,3090.57,0.74
719685,Email Campaign,2024-10-12,All,SMS,1248,502,40.22,17,3.39,2981.17,5981.93,2.01
584304,Referral Program,2024-10-12,New Users,Email,7619,727,9.54,53,7.29,3264.04,7285.68,2.23
14008,New User Discount,2024-10-11,Premium,Social Media,7827,694,8.87,82,11.82,4438.83,7975.61,1.80
348891,Weekend Special,2024-10-11,New Users,Social Media,9723,160,1.65,100,62.50,3776.75,5915.34,1.57
153487,Festival Offer,2024-10-11,All,Social Media,2923,886,30.31,19,2.14,4736.19,7987.64,1.69
40613,Flash Sale,2024-10-11,All,App,2551,550,21.56,64,11.64,4034.21,6741.3,1.67
98141,Membership Drive,2024-10-11,Inactive,Email,3858,293,7.59,65,22.18,2823.22,3763.71,1.33
640280,Category Promotion,2024-10-11,New Users,Social Media,4483,987,22.02,78,7.90,4604.45,8741.95,1.90
672292,App Push Notification,2024-10-11,Premium,SMS,4928,397,8.06,18,4.53,4151.88,6046.24,1.46
570197,Email Campaign,2024-10-11,Premium,App,1141,741,64.94,30,4.05,4295.89,6285.19,1.46
646308,Referral Program,2024-10-11,Inactive,SMS,6498,716,11.02,87,12.15,4191.4,3265.99,0.78
504773,New User Discount,2024-10-10,Premium,Social Media,1828,360,19.69,66,18.33,1481.29,9900.22,6.68
581434,Weekend Special,2024-10-10,All,Social Media,4318,859,19.89,77,8.96,2539.79,3356.92,1.32
208884,Festival Offer,2024-10-10,Premium,SMS,8503,257,3.02,85,33.07,2417.7,7564.77,3.13
44861,Flash Sale,2024-10-10,All,SMS,1281,519,40.52,64,12.33,3766.62,6098.23,1.62
267822,Membership Drive,2024-10-10,New Users,Social Media,2427,594,24.47,67,11.28,4812.47,9136.15,1.90
880055,Category Promotion,2024-10-10,Premium,App,3864,422,10.92,77,18.25,4521.91,9190.04,2.03
117014,App Push Notification,2024-10-10,Inactive,SMS,7568,537,7.10,80,14.90,4097.25,6494.2,1.59
560243,Email Campaign,2024-10-10,All,Social Media,3191,920,28.83,54,5.87,4674.18,7121.35,1.52
270705,Referral Program,2024-10-10,Premium,Social Media,3092,718,23.22,72,10.03,3281.4,7717.16,2.35
991219,New User Discount,2024-10-09,Inactive,App,4131,725,17.55,70,9.66,1980.81,5404.34,2.73
360358,Weekend Special,2024-10-09,Inactive,Social Media,4112,540,13.13,56,10.37,1487.4,6296.6,4.23
921285,Festival Offer,2024-10-09,Premium,SMS,3891,190,4.88,12,6.32,1427.62,2167.81,1.52
247209,Flash Sale,2024-10-09,Premium,App,3815,351,9.20,46,13.11,2246.88,5378.34,2.39
700286,Membership Drive,2024-10-09,Inactive,Social Media,8314,462,5.56,31,6.71,4745.57,8331.49,1.76
681783,Category Promotion,2024-10-09,All,App,6641,997,15.01,13,1.30,4227.26,4278.97,1.01
99247,App Push Notification,2024-10-09,New Users,App,4091,270,6.60,72,26.67,1486.72,7910.02,5.32
506051,Email Campaign,2024-10-09,All,App,5857,564,9.63,84,14.89,3662.32,5293.72,1.45
984675,Referral Program,2024-10-09,Premium,Email,6260,630,10.06,28,4.44,2575.54,9232.77,3.58
920182,New User Discount,2024-10-08,Premium,App,8521,263,3.09,97,36.88,4575.74,8327.76,1.82
410349,Weekend Special,2024-10-08,New Users,SMS,4497,774,17.21,78,10.08,3269.78,7706.28,2.36
480767,Festival Offer,2024-10-08,Premium,SMS,8249,570,6.91,76,13.33,2213.81,5793.07,2.62
704550,Flash Sale,2024-10-08,Inactive,SMS,7088,438,6.18,58,13.24,2353.7,2416.62,1.03
678289,Membership Drive,2024-10-08,Premium,App,4046,211,5.22,27,12.80,1630.04,9065.16,5.56
227876,Category Promotion,2024-10-08,Premium,Social Media,9786,216,2.21,86,39.81,2972.28,2731.11,0.92
981243,App Push Notification,2024-10-08,Premium,Email,2812,433,15.40,31,7.16,4413.07,8772.01,1.99
703756,Email Campaign,2024-10-08,Inactive,SMS,5291,476,9.00,10,2.10,4082.16,4658.52,1.14
196871,Referral Program,2024-10-08,New Users,Email,5613,857,15.27,56,6.53,1034.9,8995.1,8.69
